CustomerID,Region,State,City,CityTier,Gender,Age,PlanType,NetworkType,TenureMonths,CustomerSince,ARPU_INR,DataUsage_GB,VoiceMinutes,SMSCount,RechargeFreqPerMonth,PaymentMethod,HandsetBrand,OTTBundle,FamilyPlan,ComplaintsLast90Days,NPS,RoamingDays,Churn
CUST000001,West,California,Long Beach,2,Female,41,Postpaid,4G,38,08-07-2022,576.74,17.74,668,9,1,UPI,Other,1,0,0,-20,4,0
CUST000002,Northeast,Pennsylvania,Erie,2,Male,32,Prepaid,4G,14,07-07-2024,163.89,17.78,453,7,1,UPI,Oppo,0,0,0,16,0,0
CUST000003,South,North Carolina,Raleigh,1,Male,21,Prepaid,5G,10,05-11-2024,223.88,13.18,427,8,2,UPI,Xiaomi,0,0,0,9,2,0
CUST000004,South,Texas,Arlington,2,Male,43,Prepaid,4G,61,08-08-2020,86.27,12.1,375,7,0.5,UPI,Oppo,1,0,0,-12,0,0
CUST000005,Midwest,Ohio,Akron,3,Female,40,Prepaid,4G,11,06-10-2024,235.63,21.87,300,10,1,UPI,OnePlus,0,0,0,64,3,0
CUST000006,Midwest,Wisconsin,Appleton,3,Other,18,Prepaid,4G,18,07-03-2024,155.09,13.75,403,8,3,UPI,Motorola,0,0,0,-10,0,1
CUST000007,Midwest,Indiana,Bloomington,3,Male,29,Prepaid,4G,8,05-01-2025,237.47,7.67,545,12,2,UPI,Samsung,1,0,0,2,0,0
CUST000008,Northeast,Connecticut,Stamford,2,Male,21,Prepaid,4G,18,07-03-2024,233.96,15.91,424,4,1,UPI,OnePlus,0,0,0,17,2,0
CUST000009,South,North Carolina,Greensboro,2,Male,18,Prepaid,5G,22,07-11-2023,188.25,25.32,496,13,1,UPI,Apple,0,0,0,1,1,0
CUST000010,South,Maryland,Baltimore,1,Female,20,Prepaid,5G,17,07-04-2024,280.02,45.78,630,8,1,Debit Card,Oppo,0,0,0,35,3,0
CUST000011,Midwest,Wisconsin,Green Bay,2,Female,32,Prepaid,4G,13,06-08-2024,239.73,29.71,352,5,1,UPI,Vivo,0,0,0,-41,3,0
CUST000012,Northeast,Massachusetts,Worcester,2,Female,37,Prepaid,2G,6,07-03-2025,197.64,14.31,462,6,1,Cash,Vivo,0,0,0,-7,0,0
CUST000013,Northeast,Rhode Island,Cranston,2,Male,29,Postpaid,4G,37,08-08-2022,549.39,12.86,547,9,1,NetBanking,Oppo,0,0,0,-2,3,0
CUST000014,Midwest,Minnesota,Brooklyn Park,3,Female,44,Prepaid,4G,18,07-03-2024,253.89,12.97,314,11,3,Debit Card,Xiaomi,0,0,0,-5,1,0
CUST000015,Midwest,Indiana,Evansville,2,Female,41,Postpaid,4G,38,08-07-2022,627.84,13.04,448,9,1,UPI,Samsung,0,0,1,73,0,0
CUST000016,Midwest,Wisconsin,Racine,3,Male,30,Prepaid,4G,54,09-03-2021,251.79,20.16,649,9,1,Cash,Samsung,1,0,0,10,0,0
